"","iso_a3","region_id","country","income_id","gdp","population","total_waste","composition_food_organic_waste_percent","composition_glass_percent","composition_metal_percent","composition_other_percent","composition_paper_cardboard_percent","composition_plastic_percent","composition_rubber_leather_percent","composition_wood_percent","composition_yard_garden_green_waste_percent","country_name","continent"
"1","CHN","East_Asia_Pacific","China","UMC",16092.30078125,1400050048,395081376,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,NA,"China","Asia"
"2","USA","North_America","United States","HIC",61498.37109375,326687488,265224528,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,"United States","North America"
"3","IND","South_asia","India","LMC",6496.8076171875,1352617344,189750000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"India","Asia"
"4","BRA","Latin_America","Brazil","UMC",14596.24609375,208494896,79069584,51.4,2.4,2.9,16.7,13.1,13.5,NA,NA,NA,"Brazil","South America"
"5","IDN","East_Asia_Pacific","Indonesia","LMC",10531.1982421875,261115456,65200000,53.8,2.5,1.8,12.9,14.9,14,NA,NA,NA,"Indonesia","Asia"
"6","RUS","Europe_Central_Asia","Russian Federation","UMC",26012.849609375,143201680,6e+07,28.41,16.82,1.83,19.03,19.7,14.21,NA,NA,NA,"Russian Federation","Europe"
"7","MEX","Latin_America","Mexico","UMC",19332.07421875,125890952,53100000,52.4,5.9,3.4,12.1,13.8,10.9,NA,NA,NA,"Mexico","North America"
"8","DEU","Europe_Central_Asia","Germany","HIC",53784.78125,83132800,50627876,30,10,1.4,17.7,24,13,4,NA,NA,"Germany","Europe"
"9","JPN","East_Asia_Pacific","Japan","HIC",41309.95703125,126529104,42720000,36,5,4,6,33,11,1,4,NA,"Japan","Asia"
"10","FRA","Europe_Central_Asia","France","HIC",46110.18359375,67059888,36748820,32,10,3,26,20,9,NA,NA,NA,"France","Europe"
"11","TUR","Europe_Central_Asia","Turkey","UMC",28289.087890625,83429616,35374156,64,2,1,24,6,3,NA,NA,NA,"Turkey","Asia"
"12","GBR","Europe_Central_Asia","United Kingdom","HIC",46290.12109375,66460344,30771140,16.7,2.2,3.5,28.2,18.9,20.2,NA,7.6,2.7,"United Kingdom","Europe"
"13","PAK","South_asia","Pakistan","LMC",4571.41455078125,193203472,30760000,30,6,4,20,13,9,2,2,14,"Pakistan","Asia"
"14","ITA","Europe_Central_Asia","Italy","HIC",42419.72265625,60297396,30088400,34.4,7.6,4.3,15.4,22.8,11.6,NA,3.8,NA,"Italy","Europe"
"15","NGA","Sub-Saharan_Africa","Nigeria","LMC",4690.37939453125,154402176,27614830.07185,NA,3.1,NA,11.3,8,4.8,NA,NA,NA,"Nigeria","Africa"
"16","THA","East_Asia_Pacific","Thailand","UMC",16301.5380859375,68657600,26853366,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,NA,"Thailand","Asia"
"17","CAN","North_America","Canada","HIC",47672.078125,35544564,25103034,24,6,13,8,47,3,NA,NA,NA,"Canada","North America"
"18","ESP","Europe_Central_Asia","Spain","HIC",40985.55859375,47076780,22408548,49,8,3,14,15,9,NA,2,NA,"Spain","Europe"
"19","EGY","Middle_East_North_Africa","Egypt, Arab Rep.","LMC",10301.107421875,87813256,2.1e+07,56,4,2,15,10,13,NA,NA,NA,"Egypt","Africa"
"20","KOR","East_Asia_Pacific","Korea, Rep.","HIC",42105.28125,51606632,20452776,30,2.5,2.6,NA,41,24.3,NA,NA,NA,"Republic of Korea","Asia"
"21","ZAF","Sub-Saharan_Africa","South Africa","UMC",12666.607421875,51729344,18457232,16.3816546273027,5.20021637047202,16.9104608968452,45.0206455659223,9.39691823779427,7.09010430166343,NA,NA,NA,"South Africa","Africa"
"22","ARG","Latin_America","Argentina","HIC",23550.099609375,42981516,17910550,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,"Argentina","South America"
"23","IRN","Middle_East_North_Africa","Iran, Islamic Rep.","UMC",14535.8623046875,80277424,17885000,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,NA,"Iran","Asia"
"24","SAU","Middle_East_North_Africa","Saudi Arabia","HIC",48921.23046875,31557144,16125700.584,45.5,4,5,2.5,27,11,NA,5,NA,"Saudi Arabia","Asia"
"25","UKR","Europe_Central_Asia","Ukraine","LMC",11534.6376953125,45004644,15242025,37,5,4,22,25,7,NA,NA,NA,"Ukraine","Europe"
"26","BGD","South_asia","Bangladesh","LMC",3195.73706054688,155727056,14778497.33,80.58,0.44,0.5,8.59,3.04,4.67,1.08,NA,1.1,"Bangladesh","Asia"
"27","PHL","East_Asia_Pacific","Philippines","LMC",7705.04541015625,103320224,14631922.9,52.31,2.34,4.22,21.52,8.7,10.55,0.37,NA,NA,"Philippines","Asia"
"28","COD","Sub-Saharan_Africa","Congo, Dem. Rep.","LIC",1055.57299804688,78736152,14385226.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Democratic Republic of the Congo","Africa"
"29","AUS","East_Asia_Pacific","Australia","HIC",47784.1796875,23789338,13345000,48.44,3.81,19.38,3.46,17.3,7.61,NA,NA,NA,"Australia","Oceania"
"30","IRQ","Middle_East_North_Africa","Iraq","UMC",10310.6796875,36115648,13140000,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,"Iraq","Asia"
"31","MYS","East_Asia_Pacific","Malaysia","UMC",23906.265625,30228016,12982685,46,3,3,9,14,15,3,7,NA,"Malaysia","Asia"
"32","POL","Europe_Central_Asia","Poland","HIC",33221.54296875,37970872,12758213,37.27,10.07,2.17,26.69,11.27,12.13,NA,0.4,NA,"Poland","Europe"
"33","DZA","Middle_East_North_Africa","Algeria","UMC",11826.1650390625,40606052,12378740,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,NA,"Algeria","Africa"
"34","COL","Latin_America","Colombia","UMC",12523.0068359375,46406648,12150120,59.58,2.35,1.1,15.74,8.4,12.83,NA,NA,NA,"Colombia","South America"
"35","VEN","Latin_America","Venezuela, RB","UMC",14269.673828125,29893080,9779093.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Venezuela","South America"
"36","VNM","East_Asia_Pacific","Vietnam","LMC",5089.4111328125,86932496,9570300,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,NA,"Vietnam","Asia"
"37","TZA","Sub-Saharan_Africa","Tanzania","LIC",2128.55395507812,49082996,9276995,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tanzania","Africa"
"38","NLD","Europe_Central_Asia","Netherlands","HIC",56849.375,17332850,8805088,35,5.4,4.3,20.24,21,14,NA,NA,NA,"Netherlands","Europe"
"39","PER","Latin_America","Peru","UMC",11877.083984375,30973354,8356711.13,50.43,3.05,2.64,21.7,7.44,10.52,1.25,NA,2.97,"Peru","South America"
"40","TWN","East_Asia_Pacific",NA,"HIC",57362.92578125,23434000,7336000,23.34,4.11,3.07,14.11,30.01,20.23,0.6,NA,4.43,NA,NA
"41","UGA","Sub-Saharan_Africa","Uganda","LIC",1972.3017578125,35093648,7045049.836,74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,"Uganda","Africa"
"42","MAR","Middle_East_North_Africa","Morocco","LMC",6915.10302734375,34318080,6852000,60,2,2.5,6,9,8,NA,NA,NA,"Morocco","Africa"
"43","ETH","Sub-Saharan_Africa","Ethiopia","LIC",1779.083984375,99873032,6532786.97,87.6,0.8,1.2,4.4,3.8,2.3,NA,NA,NA,"Ethiopia","Africa"
"44","CHL","Latin_America","Chile","HIC",20361.71484375,16829442,6517000,53.3,6.6,2.3,16,12.4,9.4,NA,NA,NA,"Chile","South America"
"45","CHE","Europe_Central_Asia","Switzerland","HIC",68394.2890625,8574832,6079556,29,4,3,29,20,15,NA,NA,NA,"Switzerland","Europe"
"46","HKG","East_Asia_Pacific","Hong Kong SAR, China","HIC",57215.96875,7305700,5679816.465,35,3,2,14,22,21,NA,3,NA,"Hong Kong","Asia"
"47","AFG","South_asia","Afghanistan","LIC",2057.06225585938,34656032,5628525.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan","Asia"
"48","ARE","Middle_East_North_Africa","United Arab Emirates","HIC",67119.1328125,9770529,5617682,39,4,3,10,25,19,NA,NA,NA,"United Arab Emirates","Asia"
"49","GRC","Europe_Central_Asia","Greece","HIC",30465.44921875,10716322,5615352.5,40,3,3,9,29,14,2,NA,NA,"Greece","Europe"
"50","KEN","Sub-Saharan_Africa","Kenya","LMC",3329.8544921875,41350152,5595099,57,3,1,9,11.3,18.7,NA,NA,NA,"Kenya","Africa"
"51","ROU","Europe_Central_Asia","Romania","UMC",29983.556640625,19356544,5419832.5,56.26,4.89,2.5,10.68,11.34,12.33,NA,2,NA,"Romania","Europe"
"52","ISR","Middle_East_North_Africa","Israel","HIC",37687.74609375,8380100,5400000,34,3,3,16,24,18,NA,NA,2,"Israel","Asia"
"53","CZE","Europe_Central_Asia","Czech Republic","HIC",40836.328125,10669709,5334854.5,62.3,2.4,8.4,14.9,9.1,2.2,NA,0.7,NA,"Czech Republic","Europe"
"54","ECU","Latin_America","Ecuador","UMC",11896.376953125,16144368,5297211.14253394,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,NA,"Ecuador","South America"
"55","PRT","Europe_Central_Asia","Portugal","HIC",34961.9453125,10269417,5268211,36.49,6.73,1.85,27.68,13.64,10.72,NA,0.93,1.94,"Portugal","Europe"
"56","AUT","Europe_Central_Asia","Austria","HIC",56029.61328125,8877067,5219715.5,31.4,7,4.4,18.5,19.7,11.1,NA,7.9,NA,"Austria","Europe"
"57","DNK","Europe_Central_Asia","Denmark","HIC",57821.19921875,5818553,4910858.5,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,"Denmark","Europe"
"58","YEM","Middle_East_North_Africa","Yemen, Rep.","LIC",8269.671875,27584212,4836820,65,1,6,6,7,10,1,3,1,"Yemen","Asia"
"59","BEL","Europe_Central_Asia","Belgium","HIC",51914.9140625,11484055,4765883,14.18,3.1,1.91,40.14,18.38,13.94,NA,2.37,5.84,"Belgium","Europe"
"60","MMR","East_Asia_Pacific","Myanmar","LMC",1093.7880859375,46095464,4677306.52914,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myanmar","Asia"
"61","KAZ","Europe_Central_Asia","Kazakhstan","UMC",22702.580078125,16791424,4659740,30,5,3,7,25,25,NA,2.5,NA,"Kazakhstan","Asia"
"62","SWE","Europe_Central_Asia","Sweden","HIC",52608.7109375,10285453,4618168.5,23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,"Sweden","Europe"
"63","SYR","Middle_East_North_Africa","Syrian Arab Republic","LIC",8587.05078125,20824892,4500000,57,3,4,22,7,7,NA,NA,NA,"Syria","Asia"
"64","CIV","Sub-Saharan_Africa","Côte d’Ivoire","LMC",3660.90283203125,20401332,4440814.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Côte d'Ivoire","Africa"
"65","RWA","Sub-Saharan_Africa","Rwanda","LIC",1950.52807617188,11917508,4384969,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rwanda","Africa"
"66","BLR","Europe_Central_Asia","Belarus","UMC",18307.51953125,9489616,4280000,30,8,2,35,5,12,6,2,NA,"Belarus","Europe"
"67","AGO","Sub-Saharan_Africa","Angola","LMC",8036.6904296875,25096150,4213643.585,51.8,6.7,4.4,11.5,11.9,13.5,NA,NA,NA,"Angola","Africa"
"68","PRI","Latin_America","Puerto Rico","HIC",34311.03125,3473181,4170953,13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,"Puerto Rico","North America"
"69","NOR","Europe_Central_Asia","Norway","HIC",64962.26171875,5347896,4149967.25,15.49,4.6,6.12,13.15,26.57,2.25,NA,17.21,14.68,"Norway","Europe"
"70","DOM","Latin_America","Dominican Republic","UMC",15328.3525390625,10528394,4063910,51,6,3,10,16,10,NA,4,NA,"Dominican Republic","North America"
"71","UZB","Europe_Central_Asia","Uzbekistan","LMC",5164.2744140625,29774500,4e+06,40,3,2,17.5,17.5,2.5,1.5,4,NA,"Uzbekistan","Asia"
"72","MDA","Europe_Central_Asia","Moldova","LMC",10360.830078125,3554108,3981200,55,4,3,23,5,10,NA,NA,NA,"Moldova","Europe"
"73","HUN","Europe_Central_Asia","Hungary","HIC",32643.490234375,9769949,3780970.25,22.5,3.5,1.8,45.9,13.4,13,NA,NA,NA,"Hungary","Europe"
"74","MDG","Sub-Saharan_Africa","Madagascar","LIC",1565.86694335938,24894552,3768759.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Madagascar","Africa"
"75","GHA","Sub-Saharan_Africa","Ghana","LMC",3092.59692382812,21542008,3538274.97825,67,0,1,25,3,4,NA,NA,NA,"Ghana","Africa"
"76","NZL","East_Asia_Pacific","New Zealand","HIC",41857.4765625,4692700,3405000,28,4,4.5,37,7,8,1,11,NA,"New Zealand","Oceania"
"77","CMR","Sub-Saharan_Africa","Cameroon","LMC",3262.763671875,21655716,3270616.59,83.4,0.1,0.7,10.4,2.1,3.3,NA,NA,NA,"Cameroon","Africa"
"78","FIN","Europe_Central_Asia","Finland","HIC",48814.30859375,5520314,3124497.75,35.88,9.24,1.7,13.13,37.83,1.45,NA,0.73,NA,"Finland","Europe"
"79","AZE","Europe_Central_Asia","Azerbaijan","UMC",14853.91015625,9649341,2930349,45.19,5.28,3.49,13.73,10.93,7.87,3.09,NA,10.42,"Azerbaijan","Asia"
"80","IRL","Europe_Central_Asia","Ireland","HIC",83388.71875,4867316,2910655,16.6,8.5,3.7,25.8,25,12.4,NA,1.9,6.1,"Ireland","Europe"
"81","MNG","East_Asia_Pacific","Mongolia","LMC",10940.4150390625,3027398,2900000,22.7,NA,NA,50.1,12.7,14.5,NA,NA,NA,"Mongolia","Asia"
"82","BGR","Europe_Central_Asia","Bulgaria","UMC",22279.361328125,7025037,2859190,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,"Bulgaria","Europe"
"83","SDN","Sub-Saharan_Africa","Sudan","LMC",4191.8232421875,38647804,2831291,51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,"Sudan","Africa"
"84","GTM","Latin_America","Guatemala","UMC",8125.36474609375,16252429,2756740.97135,37.7144911834619,4.39183557981429,NA,18.0184736413703,16.0467021530789,17.2908087510093,NA,NA,6.53768869126523,"Guatemala","North America"
"85","TUN","Middle_East_North_Africa","Tunisia","LMC",10505.2626953125,11143908,2700000,68,2,4,5,10,11,NA,NA,NA,"Tunisia","Africa"
"86","CUB","Latin_America","Cuba","UMC",12984.7109375,11303687,2692691.98,68.9,4.6,1.6,3,12.3,9.6,NA,NA,NA,"Cuba","North America"
"87","SSD","Sub-Saharan_Africa","South Sudan","LIC",1795.99194335938,11177490,2680681,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Sudan","Africa"
"88","LKA","South_asia","Sri Lanka","LMC",12287.47265625,21203000,2631650,62,2,3,13,7,7,NA,6,NA,"Sri Lanka","Asia"
"89","ZMB","Sub-Saharan_Africa","Zambia","LMC",3201.28930664062,14264756,2608268,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zambia","Africa"
"90","BFA","Sub-Saharan_Africa","Burkina Faso","LIC",1925.33117675781,18110624,2575251.11,21,1,1,61,7,9,NA,NA,NA,"Burkina Faso","Africa"
"91","JOR","Middle_East_North_Africa","Jordan","UMC",10413.17578125,8413464,2529997,50,2,1.5,15.5,15,16,NA,NA,NA,"Jordan","Asia"
"92","MOZ","Sub-Saharan_Africa","Mozambique","LIC",1217.09020996094,27212382,2500000,60,NA,NA,15,25,NA,NA,NA,NA,"Mozambique","Africa"
"93","SEN","Sub-Saharan_Africa","Senegal","LIC",3067.66259765625,15411614,2454059.25,12,2,2,68,5,9,NA,2,NA,"Senegal","Africa"
"94","SRB","Europe_Central_Asia","Serbia","UMC",18351.2734375,6944975,2347401.5,37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,"Serbia","Europe"
"95","SOM","Sub-Saharan_Africa","Somalia","LIC",1862.61413574219,14317996,2326099.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","Africa"
"96","HTI","Latin_America","Haiti","LIC",2952.61865234375,10847334,2309852.45485,61.3,1.6,2.5,16.8,4.1,12.7,NA,1,NA,"Haiti","North America"
"97","SVK","Europe_Central_Asia","Slovak Republic","HIC",31965.76171875,5454073,2296164.75,42,19,2,1,25,11,NA,NA,NA,"Slovakia","Europe"
"98","BOL","Latin_America","Bolivia","LMC",7984.41357421875,10724705,2219052,55.1969111969112,2.9034749034749,2.5019305019305,22.7027027027027,6.5019305019305,10.1930501930502,NA,NA,NA,"Bolivia","South America"
"99","HND","Latin_America","Honduras","LMC",5395.61376953125,9112867,2162027.69575,57.9,1.27,2.11,6.62,17.36,14.41,0.33,NA,NA,"Honduras","North America"
"100","LBY","Middle_East_North_Africa","Libya","UMC",8479.9462890625,6193501,2147596.47175,70.1,3.1,4.3,3.8,5.5,7.5,NA,2.5,NA,"Libya","Africa"
"101","LBN","Middle_East_North_Africa","Lebanon","UMC",16966.740234375,5603279,2040000,52.5,3.5,5.5,11,16,11.5,NA,NA,NA,"Lebanon","Asia"
"102","MLI","Sub-Saharan_Africa","Mali","LIC",2007.80603027344,16006670,1937354.44,17.5,1,3.5,72.5,3.5,2,NA,NA,NA,"Mali","Africa"
"103","BDI","Sub-Saharan_Africa","Burundi","LIC",839.778503417969,6741569,1872016,81,2.9,2.1,3.2,7.3,3.5,NA,NA,NA,"Burundi","Africa"
"104","SGP","East_Asia_Pacific","Singapore","HIC",97341.46875,5703600,1870000,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,"Singapore","Asia"
"105","NER","Sub-Saharan_Africa","Niger","LIC",1038.22412109375,8842415,1865645.67,38,NA,1,57,2,2,NA,NA,NA,"Niger","Africa"
"106","PRY","Latin_America","Paraguay","UMC",11810.427734375,6639119,1818501.3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paraguay","South America"
